nota_url,nota_titulo,nota_fecha_disponible
https://www.lanacion.com.ar/agencias/jose-bautista-mantiene-vivo-a-dominicana-en-el-beisbol-nid03082021/,José Bautista mantiene vivo a Dominicana en el béisbol,2021-08-03T11:22:47
https://www.lanacion.com.ar/agencias/presidente-ugandes-pide-cambios-a-ley-contra-homosexualidad-nid20042023/,Presidente ugandés pide cambios a ley contra homosexualidad,2023-04-20T17:41:02
https://www.lanacion.com.ar/agencias/fuerte-tormenta-causa-inundaciones-evacuaciones-y-apagones-en-california-nid05022024/,"Fuerte tormenta causa inundaciones, evacuaciones y apagones en California",2024-02-05T15:31:12
https://www.lanacion.com.ar/agencias/el-fondo-saudita-para-el-desarrollo-firma-un-acuerdo-de-contribucion-multianual-con-el-fondo-mundial-nid20052023/,El Fondo Saudita para el Desarrollo firma un acuerdo de contribución multianual con el Fondo Mundial,2023-05-20T00:50:39
https://www.lanacion.com.ar/agencias/pederson-perez-aceptan-ofertas-calificadas-nid15112022/,"Pederson, Pérez aceptan ofertas calificadas",2022-11-15T22:10:30
https://www.lanacion.com.ar/agencias/trudeau-viajara-a-londres-para-funeral-de-la-reina-isabel-ii-nid15092022/,Trudeau viajará a Londres para funeral de la reina Isabel II,2022-09-15T18:23:12
https://www.lanacion.com.ar/agencias/eeuu-y-canada-envian-vehiculos-blindados-a-policia-en-haiti-nid16102022/,EEUU y Canadá envían vehículos blindados a policía en Haití,2022-10-16T00:08:15
https://www.lanacion.com.ar/agencias/latin-grammy-seran-en-espana-en-su-1ra-edicion-fuera-de-eeuu-nid22022023/,Latin Grammy serán en España en su 1ra edición fuera de EEUU,2023-02-22T10:40:51
https://www.lanacion.com.ar/agencias/en-comedia-de-errores-lions-y-steelers-empatan-16-16-nid14112021/,"En comedia de errores, Lions y Steelers empatan 16-16",2021-11-14T19:54:32
https://www.lanacion.com.ar/agencias/la-policia-china-detiene-a-responsables-financieros-de-la-endeudada-promotora-evergrande-nid17092023/,La policía china detiene a responsables financieros de la endeudada promotora Evergrande,2023-09-17T08:50:29
https://www.lanacion.com.ar/agencias/sin-senas-particulares-llega-tras-asesinato-de-buscadores-nid04082021/,“Sin señas particulares” llega tras asesinato de buscadores,2021-08-04T14:52:38
https://www.lanacion.com.ar/agencias/fernandez-se-reune-con-lula-busca-ayuda-contra-el-dolar-nid02052023/,Fernández se reúne con Lula; busca ayuda contra el dólar,2023-05-02T20:40:32
https://www.lanacion.com.ar/agencias/wainwright-y-molina-empatan-record-pero-cardenales-caen-nid08092022/,"Wainwright y Molina empatan récord, pero Cardenales caen",2022-09-08T19:53:14
https://www.lanacion.com.ar/agencias/swiatek-vence-a-andreescu-y-llega-a-semis-en-italia-nid13052022/,Swiatek vence a Andreescu y llega a semis en Italia,2022-05-13T16:09:36
https://www.lanacion.com.ar/agencias/t-mobile-pagara-a-usuarios-por-datos-robados-en-hackeo-nid23072022/,T-Mobile pagará a usuarios por datos robados en hackeo,2022-07-23T14:10:58
https://www.lanacion.com.ar/agencias/florida-fiscal-suspendido-por-gobernador-pide-reintegro-nid16022023/,Florida: fiscal suspendido por gobernador pide reintegro,2023-02-16T15:41:04
https://www.lanacion.com.ar/agencias/kioxia-presento-el-sistema-de-clasificacion-de-imagenes-que-implementa-ia-centrada-en-la-memoria-con-nid02112022/,Kioxia presentó el sistema de clasificación de imágenes que implementa IA centrada en la memoria con almacenamiento de alta capacidad en ECCV 2022,2022-11-02T09:10:52
https://www.lanacion.com.ar/agencias/fotografo-que-perdio-pierna-busca-respuesta-en-paralimpicos-nid08092021/,Fotógrafo que perdió pierna busca respuesta en Paralímpicos,2021-09-08T14:11:17
https://www.lanacion.com.ar/agencias/rusia-se-retira-de-una-posicion-clave-en-el-sur-de-ucrania-nid10112022/,Rusia se retira de una posición clave en el sur de Ucrania,2022-11-10T01:51:44
https://www.lanacion.com.ar/agencias/victorias-de-fognini-etcheverry-garin-y-osorio-en-abierto-de-italia-nid10052023/,"Victorias de Fognini, Etcheverry, Garín y Osorio en Abierto de Italia",2023-05-10T19:22:17
https://www.lanacion.com.ar/agencias/criticas-a-erdogan-por-incendios-forestales-en-turquia-nid03082021/,Críticas a Erdogan por incendios forestales en Turquía,2021-08-03T08:37:33
https://www.lanacion.com.ar/agencias/clerigo-chii-en-irak-arrecia-demanda-de-disolver-parlamento-nid10082022/,Clérigo chií en Irak arrecia demanda de disolver parlamento,2022-08-10T14:38:17
https://www.lanacion.com.ar/agencias/analisis-ap-guerra-de-trump-contra-la-verdad-enfrenta-una-nueva-prueba-nid24062023/,Análisis AP: Guerra de Trump contra la verdad enfrenta una nueva prueba,2023-06-24T11:50:48
https://www.lanacion.com.ar/agencias/gobierno-britanico-respalda-proyecto-de-ley-que-prohibiria-a-estados-extranjeros-adquirir-diarios-nid13032024/,Gobierno británico respalda proyecto de ley que prohibiría a Estados extranjeros adquirir diarios,2024-03-13T19:51:16
https://www.lanacion.com.ar/agencias/joel-embiid-luce-con-51-puntos-76ers-doblegan-127-113-a-timberwolves-nid21122023/,Joel Embiid luce con 51 puntos; 76ers doblegan 127-113 a Timberwolves,2023-12-21T01:11:05
https://www.lanacion.com.ar/agencias/osaka-deberia-tomarse-el-tiempo-de-descanso-que-necesite-nid04092021/,Osaka debería tomarse el tiempo de descanso que necesite,2021-09-04T16:37:37
https://www.lanacion.com.ar/agencias/biden-viaja-a-europa-para-reunirse-con-aliados-y-putin-nid08062021/,Biden viaja a Europa para reunirse con aliados y Putin,2021-06-08T13:22:22
